Longitude,Latitude,annee,diplome,NameOfUni,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,poids_de_la_discipline,taux_dinsertion,emplois_cadre_ou_professions_intermediaires,emplois_stables,emplois_a_temps_plein,salaire_net_median_des_emplois_a_temps_plein,salaire_brut_annuel_estime,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,emplois_cadre,emplois_exterieurs_a_la_region_de_luniversite,femmes,salaire_net_mensuel_regional_1er_quartile,salaire_net_mensuel_regional_3eme_quartile
2.357499,48.8471036,2013,MASTER LMD,Paris Pierre et Marie Curie France,Paris,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,86,62,25,86,88,57,95,1700,26500,26,8.8,2070,74,32,66,1630,2580
2.357499,48.8471036,2013,MASTER LMD,Paris Pierre et Marie Curie France,Paris,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,50,66,15,92,100,91,100,2300,35900,26,8.8,2070,95,21,22,1630,2580
2.357499,48.8471036,2013,MASTER LMD,Paris Pierre et Marie Curie France,Paris,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,18,67,5,ns,ns,ns,ns,ns,,26,8.8,2070,ns,ns,ns,1630,2580
,,2013,MASTER LMD,Paris 7 - Denis Diderot France,Paris,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,81,50,38,79,98,74,97,2180,33900,26,8.8,2070,86,19,51,1630,2580
,,2013,MASTER LMD,Paris 7 - Denis Diderot France,Paris,"Sciences, technologies et santé",Sciences fondamentales,18 mois après le diplôme,30,43,15,80,ns,ns,ns,ns,,26,8.8,2070,ns,ns,56,1630,2580
,,2013,MASTER LMD,Rouen France,Rouen,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,113,72,36,90,92,72,98,1900,29600,31,10.2,1840,70,55,44,1500,2190
,,2013,MASTER LMD,Rouen France,Rouen,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,45,73,14,84,92,40,97,1630,25400,31,10.2,1840,54,50,66,1500,2190
0.107929,49.49437,2013,MASTER LMD,Le Havre France,Rouen,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,6,100,4,ns,ns,ns,ns,ns,,35,10.2,1840,ns,ns,ns,1500,2190
0.107929,49.49437,2013,MASTER LMD,Le Havre France,Rouen,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,6,100,4,ns,ns,ns,ns,ns,,35,10.2,1840,ns,ns,ns,1500,2190
0.107929,49.49437,2013,MASTER LMD,Le Havre France,Rouen,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,28,52,26,ns,ns,ns,ns,ns,,35,10.2,1840,ns,ns,ns,1500,2190
2.586253,48.840109,2013,MASTER LMD,Paris-Est Marne-la-Vallée France,Créteil,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,189,72,38,81,80,75,96,1900,29700,13,8.8,2070,53,14,68,1630,2580
