Longitude;Latitude;annee;diplome;NameOfUni;academie;domaine;discipline;situation;nombre_de_reponses;taux_de_reponse;taux_dinsertion;emplois_cadre_ou_professions_intermediaires;emplois_stables;emplois_a_temps_plein;salaire_net_median_des_emplois_a_temps_plein;salaire_brut_annuel_estime;de_diplomes_boursiers;taux_de_chomage_regional;salaire_net_mensuel_median_regional;emplois_cadre;emplois_exterieurs_a_la_region_de_luniversite;femmes;salaire_net_mensuel_regional_1er_quartile;salaire_net_mensuel_regional_3eme_quartile
2.340761;48.851251;2013;MASTER LMD;Paris_Rene_Descartes_;Paris;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;30;55;93;ns;ns;ns;ns;;20;8.8;2070;ns;ns;76;1630;2580
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;70;53;87;75;62;98;1920;30000;35;10.2;1840;38;41;58;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Droit, économie et gestion;Économie;18 mois après le diplôme;2;60;0;ns;ns;ns;nd;;35;10.2;1840;ns;ns;ns;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Droit, économie et gestion;Gestion;18 mois après le diplôme;63;51;84;67;48;98;1710;26600;35;10.2;1840;32;42;63;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Droit, économie et gestion;Gestion;30 mois après le diplôme;63;51;87;76;62;98;1920;30000;35;10.2;1840;38;42;63;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Sciences humaines et sociales;Ensemble sciences humaines et sociales;18 mois après le diplôme;12;76;0;ns;ns;ns;ns;;35;10.2;1840;ns;ns;ns;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;12;76;0;ns;ns;ns;ns;;35;10.2;1840;ns;ns;ns;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Sciences, technologies et santé;Sciences de la vie et de la terre;18 mois après le diplôme;3;50;0;ns;ns;ns;ns;;35;10.2;1840;ns;ns;ns;1500;2190
0.107929;49.49437;2013;MASTER LMD;Le_Havre_;Rouen;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;13;56;0;ns;ns;ns;ns;;35;10.2;1840;ns;ns;ns;1500;2190
2.586253;48.840109;2013;MASTER ENS;Paris_Est_Marne_la_Vallee_;Créteil;Masters enseignement;Masters enseignement;30 mois après le diplôme;10;85;0;ns;ns;ns;ns;;;8.8;2070;ns;ns;ns;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Droit, économie et gestion;Gestion;30 mois après le diplôme;176;71;89;78;81;99;2110;32900;13;8.8;2070;52;14;72;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;13;89;0;ns;ns;ns;ns;;13;8.8;2070;ns;ns;ns;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;13;89;0;ns;ns;ns;ns;;13;8.8;2070;ns;ns;ns;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Lettres, langues, arts;Lettres, langues, arts;18 mois après le diplôme;45;77;74;72;76;94;ns;;13;8.8;2070;36;21;67;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;9;77;0;ns;ns;ns;ns;;13;8.8;2070;ns;ns;ns;1630;2580
2.586253;48.840109;2013;MASTER LMD;Paris_Est_Marne_la_Vallee_;Créteil;Sciences, technologies et santé;Informatique;18 mois après le diplôme;21;85;0;ns;ns;ns;ns;;13;8.8;2070;ns;ns;ns;1630;2580
2.1388672;43.9194985;2013;MASTER LMD;Institut_national_universitaire_Jean_Francois_Champollion_;Toulouse;Sciences, technologies et santé;Sciences de l'ingénieur;18 mois après le diplôme;5;100;0;ns;ns;ns;ns;;36;11.9;1820;ns;ns;ns;1460;2150
6.018688;43.136473;2013;MASTER LMD;Toulon_Sud_Toulon_Var_;Nice;Droit, économie et gestion;Droit;18 mois après le diplôme;46;80;79;67;59;78;ns;;36;11.4;1840;30;33;80;1430;2210
6.018688;43.136473;2013;MASTER LMD;Toulon_Sud_Toulon_Var_;Nice;Droit, économie et gestion;Droit;30 mois après le diplôme;46;80;93;77;72;93;1540;24000;36;11.4;1840;41;33;80;1430;2210
6.018688;43.136473;2013;MASTER LMD;Toulon_Sud_Toulon_Var_;Nice;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;15;78;0;ns;ns;ns;ns;;36;11.4;1840;ns;ns;ns;1430;2210
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Droit, économie et gestion;Économie;30 mois après le diplôme;5;83;0;ns;ns;ns;ns;;38;9.9;1730;nd;nd;nd;;
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Droit, économie et gestion;Gestion;30 mois après le diplôme;44;76;91;79;85;100;ns;;38;9.9;1730;nd;nd;nd;;
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;11;74;0;ns;ns;ns;ns;;38;9.9;1730;nd;nd;nd;;
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;9;69;0;ns;ns;ns;ns;;38;9.9;1730;nd;nd;nd;;
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;9;53;0;ns;ns;ns;ns;;38;9.9;1730;nd;nd;nd;;
6.024053899999999;47.237829;2010;MASTER LMD;Besancon_Franche_Comte_;Besançon;Sciences, technologies et santé;Informatique;30 mois après le diplôme;25;82;0;ns;ns;ns;ns;;38;9.9;1730;nd;nd;nd;;
4.360054;43.836699;2010;MASTER LMD;Nîmes_;Montpellier;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;0;0;0;;;;;;41;14.3;1650;nd;nd;nd;;
1.4371122;43.6067724;2010;MASTER LMD;Toulouse_1_Capitole_;Toulouse;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;396;66;92;91;84;98;1950;30400;30;10.4;1730;nd;nd;nd;;
1.4371122;43.6067724;2010;MASTER LMD;Toulouse_1_Capitole_;Toulouse;Droit, économie et gestion;Économie;30 mois après le diplôme;37;51;89;94;64;100;ns;;30;10.4;1730;nd;nd;nd;;
1.4371122;43.6067724;2010;MASTER LMD;Toulouse_1_Capitole_;Toulouse;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;25;79;0;ns;ns;ns;ns;;30;10.4;1730;nd;nd;nd;;
1.4542318;43.5968342;2010;MASTER LMD;Toulouse_3_Paul_Sabatier_;Toulouse;Droit, économie et gestion;Gestion;30 mois après le diplôme;24;74;0;ns;ns;ns;ns;;33;10.4;1730;nd;nd;nd;;
1.4542318;43.5968342;2010;MASTER LMD;Toulouse_3_Paul_Sabatier_;Toulouse;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;164;73;97;99;92;99;2120;33000;33;10.4;1730;nd;nd;nd;;
-0.5260401;44.8352915;2010;MASTER LMD;Bordeaux_1_Sciences_technologies_;Bordeaux;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;19;85;0;ns;ns;ns;ns;;31;10.2;1680;nd;nd;nd;;
-0.5260401;44.8352915;2010;MASTER LMD;Bordeaux_1_Sciences_technologies_;Bordeaux;Sciences humaines et sociales;Ensemble sciences humaines et sociales;30 mois après le diplôme;5;86;0;ns;ns;ns;ns;;31;10.2;1680;nd;nd;nd;;
-0.5260401;44.8352915;2010;MASTER LMD;Bordeaux_1_Sciences_technologies_;Bordeaux;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;5;86;0;ns;ns;ns;ns;;31;10.2;1680;nd;nd;nd;;
-0.5260401;44.8352915;2010;MASTER LMD;Bordeaux_1_Sciences_technologies_;Bordeaux;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;316;80;93;98;87;99;2000;31200;31;10.2;1680;nd;nd;nd;;
-0.6063419;44.8251764;2010;MASTER LMD;Bordeaux_2_Victor_Segalen_;Bordeaux;Sciences, technologies et santé;Sciences de la vie et de la terre;30 mois après le diplôme;58;82;95;96;53;96;1820;28400;25;10.2;1680;nd;nd;nd;;
-0.5773376;44.8456953;2010;MASTER LMD;Bordeaux_Montaigne_;Bordeaux;Sciences humaines et sociales;Information communication;30 mois après le diplôme;71;72;92;77;54;92;1760;27500;32;10.2;1680;nd;nd;nd;;
-0.5780221;44.8426224;2010;MASTER LMD;Bordeaux_4_Montesquieu_;Bordeaux;Droit, économie et gestion;Droit;30 mois après le diplôme;90;67;93;85;77;93;1900;29600;26;10.2;1680;nd;nd;nd;;
3.8720638;43.6156599;2010;MASTER LMD;Montpellier_1_;Montpellier;Droit, économie et gestion;Droit;30 mois après le diplôme;121;65;88;93;82;95;1900;29600;29;14.3;1650;nd;nd;nd;;
-1.704454;48.121427;2010;MASTER LMD;Rennes_2_Haute_Bretagne_;Rennes;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;43;75;86;70;65;95;ns;;36;9;1670;nd;nd;nd;;
-1.704454;48.121427;2010;MASTER LMD;Rennes_2_Haute_Bretagne_;Rennes;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;23;64;0;ns;ns;ns;ns;;36;9;1670;nd;nd;nd;;
-1.704454;48.121427;2010;MASTER LMD;Rennes_2_Haute_Bretagne_;Rennes;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;68;78;82;82;52;89;1630;25500;36;9;1670;nd;nd;nd;;
5.7362109;45.18999340000001;2010;MASTER LMD;Grenoble_1_Joseph_Fourier_;Grenoble;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;5;83;0;ns;ns;ns;ns;;39;9.2;1750;nd;nd;nd;;
5.7362109;45.18999340000001;2010;MASTER LMD;Grenoble_1_Joseph_Fourier_;Grenoble;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;316;78;91;94;82;96;2070;32300;39;9.2;1750;nd;nd;nd;;
5.7362109;45.18999340000001;2010;MASTER LMD;Grenoble_1_Joseph_Fourier_;Grenoble;Sciences, technologies et santé;Informatique;30 mois après le diplôme;29;82;0;ns;ns;ns;ns;;39;9.2;1750;nd;nd;nd;;
5.771012799999999;45.1892589;2010;MASTER LMD;Grenoble_2_Pierre_Mendès_;Grenoble;Droit, économie et gestion;Gestion;30 mois après le diplôme;292;72;96;95;87;99;2230;34800;28;9.2;1750;nd;nd;nd;;
5.771012799999999;45.1892589;2010;MASTER LMD;Grenoble_2_Pierre_Mendès_;Grenoble;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;15;89;0;ns;ns;ns;ns;;28;9.2;1750;nd;nd;nd;;
5.771012799999999;45.1892589;2010;MASTER LMD;Grenoble_2_Pierre_Mendès_;Grenoble;Sciences humaines et sociales;Information communication;30 mois après le diplôme;7;100;0;ns;ns;ns;ns;;28;9.2;1750;nd;nd;nd;;
4.392984999999999;45.424622;2010;MASTER LMD;Saint_Etienne_Jean_Monnet_;Lyon;Droit, économie et gestion;Droit;30 mois après le diplôme;11;50;0;ns;ns;ns;ns;;33;9.2;1750;nd;nd;nd;;
4.392984999999999;45.424622;2010;MASTER LMD;Saint_Etienne_Jean_Monnet_;Lyon;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;27;63;0;ns;ns;ns;ns;;33;9.2;1750;nd;nd;nd;;
-1.553621;47.218371;2010;MASTER LMD;Nantes_;Nantes;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;284;75;89;86;82;98;2000;31200;31;9;1680;nd;nd;nd;;
-1.553621;47.218371;2010;MASTER LMD;Nantes_;Nantes;Droit, économie et gestion;Économie;30 mois après le diplôme;32;83;91;ns;ns;ns;ns;;31;9;1680;nd;nd;nd;;
-1.553621;47.218371;2010;MASTER LMD;Nantes_;Nantes;Droit, économie et gestion;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;18;79;0;ns;ns;ns;ns;;31;9;1680;nd;nd;nd;;
-1.553621;47.218371;2010;MASTER LMD;Nantes_;Nantes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;200;73;86;95;72;97;1900;29600;31;9;1680;nd;nd;nd;;
-1.553621;47.218371;2010;MASTER LMD;Nantes_;Nantes;Sciences, technologies et santé;Autres sciences, technologies et santé;30 mois après le diplôme;29;78;0;ns;ns;ns;ns;;31;9;1680;nd;nd;nd;;
1.909251;47.902964;2010;MASTER LMD;Orleans_;Orléans-Tours;Droit, économie et gestion;Droit;30 mois après le diplôme;67;71;93;100;79;97;1870;29200;30;9.7;1740;nd;nd;nd;;
1.909251;47.902964;2010;MASTER LMD;Orleans_;Orléans-Tours;Lettres, langues, arts;Lettres, langues, arts;30 mois après le diplôme;25;57;0;ns;ns;ns;ns;;30;9.7;1740;nd;nd;nd;;
1.909251;47.902964;2010;MASTER LMD;Orleans_;Orléans-Tours;Sciences humaines et sociales;Histoire-géographie;30 mois après le diplôme;12;62;0;ns;ns;ns;ns;;30;9.7;1740;nd;nd;nd;;
1.909251;47.902964;2010;MASTER LMD;Orleans_;Orléans-Tours;Sciences, technologies et santé;Sciences de l'ingénieur;30 mois après le diplôme;4;100;0;ns;ns;ns;ns;;30;9.7;1740;nd;nd;nd;;
6.2080932;48.8744233;2010;MASTER LMD;Lorraine_;Nancy-Metz;Droit, économie et gestion;Droit;30 mois après le diplôme;63;65;90;79;72;95;1850;28900;33;10.7;1720;nd;nd;nd;;
6.2080932;48.8744233;2010;MASTER LMD;Lorraine_;Nancy-Metz;Sciences humaines et sociales;Autres sciences humaines et sociales;30 mois après le diplôme;49;78;79;92;54;92;1500;23400;33;10.7;1720;nd;nd;nd;;
6.2080932;48.8744233;2010;MASTER LMD;Lorraine_;Nancy-Metz;Sciences, technologies et santé;Sciences fondamentales;30 mois après le diplôme;30;76;87;ns;ns;ns;ns;;33;10.7;1720;nd;nd;nd;;
-3.3854288;47.74291239999999;2010;MASTER LMD;Bretagne_Sud_;Rennes;Droit, économie et gestion;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;68;77;96;86;80;100;1900;29600;33;9;1670;nd;nd;nd;;
-3.3854288;47.74291239999999;2010;MASTER LMD;Bretagne_Sud_;Rennes;Sciences, technologies et santé;Ensemble sciences, technologies et santé;30 mois après le diplôme;100;83;98;99;82;97;2020;31600;33;9;1670;nd;nd;nd;;
